"Population by Educational Attainment","Number"
"Beginners",""
"Female","603"
"Male","618"
"","1221"
"Graduate and Equivalent",""
"Female","103"
"Male","242"
"","345"
"Intermediate and Equivalent",""
"Female","321"
"Male","566"
"","887"
"Level not Stated",""
"Female","15"
"Male","15"
"","30"
"Lower Secondary (Class 6-8)",""
"Female","1698"
"Male","2037"
"","3735"
"Non Formal Education",""
"Female","609"
"Male","447"
"","1056"
"Others",""
"Female","1"
"Male","6"
"","7"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","37"
"","40"
"Primary Education (1-5 Class)",""
"Female","3795"
"Male","4265"
"","8060"
"Secondary Level (Class 9-10)",""
"Female","835"
"Male","1305"
"","2140"
"SLC and Equivalent",""
"Female","494"
"Male","711"
"","1205"
