"Population by Five Years Age Group","Number"
"0-4",""
"Female","2765"
"Male","2691"
"10-14",""
"Female","2604"
"Male","2577"
"15-19",""
"Female","1912"
"Male","1802"
"20-24",""
"Female","1525"
"Male","1292"
"25-29",""
"Female","1289"
"Male","1049"
"30-34",""
"Female","938"
"Male","860"
"35-39",""
"Female","924"
"Male","861"
"40-44",""
"Female","691"
"Male","719"
"45-49",""
"Female","615"
"Male","661"
"50-54",""
"Female","433"
"Male","570"
"55-59",""
"Female","365"
"Male","492"
"5-9",""
"Female","2993"
"Male","2861"
"60-64",""
"Female","430"
"Male","374"
"65-69",""
"Female","227"
"Male","272"
"70-74",""
"Female","123"
"Male","148"
"75+",""
"Female","107"
"Male","125"
