"Population by Five Years Age Group","Number"
"0-4",""
"Female","1131"
"Male","1153"
"10-14",""
"Female","1093"
"Male","1097"
"15-19",""
"Female","861"
"Male","786"
"20-24",""
"Female","712"
"Male","582"
"25-29",""
"Female","539"
"Male","454"
"30-34",""
"Female","414"
"Male","379"
"35-39",""
"Female","360"
"Male","338"
"40-44",""
"Female","334"
"Male","337"
"45-49",""
"Female","251"
"Male","281"
"50-54",""
"Female","212"
"Male","211"
"55-59",""
"Female","188"
"Male","239"
"5-9",""
"Female","1218"
"Male","1254"
"60-64",""
"Female","170"
"Male","170"
"65-69",""
"Female","124"
"Male","110"
"70-74",""
"Female","72"
"Male","93"
"75+",""
"Female","47"
"Male","59"
