"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","595"
"Male","622"
"Brahman - Hill",""
"Female","3934"
"Male","3854"
"Chamar/ Harijan/ Ram",""
"Female","36"
"Male","34"
"Chhetri",""
"Female","32463"
"Male","32111"
"Dalit Others",""
"Female","23"
"Male","27"
"Damai/Dholi",""
"Female","3507"
"Male","3282"
"Dhobi",""
"Female","45"
"Male","55"
"Gaine",""
"Female","88"
"Male","89"
"Gharti/Bhujel",""
"Female","12"
"Male","5"
"Gurung",""
"Female","12"
"Male","14"
"Kami",""
"Female","19200"
"Male","18827"
"Kathabaniyan",""
"Female","25"
"Male","34"
"Lohar",""
"Female","57"
"Male","61"
"Magar",""
"Female","7731"
"Male","7603"
"Newar",""
"Female","134"
"Male","123"
"Others",""
"Female","115"
"Male","111"
"Rai",""
"Female","7"
"Male","11"
"Raji",""
"Female","51"
"Male","49"
"Sanyasi/Dasnami",""
"Female","1705"
"Male","1650"
"Sarki",""
"Female","1525"
"Male","1519"
"Terai Others",""
"Female","68"
"Male","51"
"Thakali",""
"Female","7"
"Male","6"
"Thakuri",""
"Female","14379"
"Male","14200"
"Tharu",""
"Female","23"
"Male","26"
