"Population by Five Years Age Group","Number"
"0-4",""
"Female","12556"
"Male","12713"
"10-14",""
"Female","12203"
"Male","12131"
"15-19",""
"Female","9140"
"Male","8454"
"20-24",""
"Female","7415"
"Male","6689"
"25-29",""
"Female","6326"
"Male","6070"
"30-34",""
"Female","4900"
"Male","4462"
"35-39",""
"Female","4543"
"Male","4613"
"40-44",""
"Female","3706"
"Male","3818"
"45-49",""
"Female","3039"
"Male","3409"
"50-54",""
"Female","2222"
"Male","2796"
"55-59",""
"Female","1774"
"Male","2339"
"5-9",""
"Female","13672"
"Male","13550"
"60-64",""
"Female","2069"
"Male","1963"
"65-69",""
"Female","1170"
"Male","1248"
"70-74",""
"Female","598"
"Male","707"
"75+",""
"Female","434"
"Male","575"
