"Population by Educational Attainment","Number"
"Beginners",""
"Female","3124"
"Male","3218"
"","6342"
"Graduate and Equivalent",""
"Female","159"
"Male","602"
"","761"
"Intermediate and Equivalent",""
"Female","1064"
"Male","2405"
"","3469"
"Level not Stated",""
"Female","155"
"Male","132"
"","287"
"Lower Secondary (Class 6-8)",""
"Female","7291"
"Male","9574"
"","16865"
"Non Formal Education",""
"Female","1533"
"Male","1376"
"","2909"
"Others",""
"Female","36"
"Male","51"
"","87"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","116"
"","124"
"Primary Education (1-5 Class)",""
"Female","19900"
"Male","23185"
"","43085"
"Secondary Level (Class 9-10)",""
"Female","3166"
"Male","5355"
"","8521"
"SLC and Equivalent",""
"Female","1819"
"Male","3467"
"","5286"
