"Population by disability type","Number"
"Blind/low vision",""
"Female","44"
"Male","57"
"","101"
"Deaf/hard of hearing",""
"Female","60"
"Male","93"
"","153"
"Deaf-Blind",""
"Female","3"
"Male","4"
"","7"
"Intellectual disable",""
"Female","2"
"Male","6"
"","8"
"Mental disable",""
"Female","12"
"Male","13"
"","25"
"Multiple disable",""
"Female","18"
"Male","16"
"","34"
"No disability",""
"Female","9448"
"Male","9057"
"","18505"
"Physical",""
"Female","66"
"Male","87"
"","153"
"Speech problem",""
"Female","25"
"Male","36"
"","61"
