"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1299"
"Male","1176"
"","2475"
"Chhetri",""
"Female","2751"
"Male","2751"
"","5502"
"Damai/Dholi",""
"Female","110"
"Male","116"
"","226"
"Gurung",""
"Female","8"
"Male","3"
"","11"
"Kami",""
"Female","288"
"Male","268"
"","556"
"Others",""
"Female","1"
"Male","11"
"","12"
"Sanyasi/Dasnami",""
"Female","58"
"Male","60"
"","118"
"Sarki",""
"Female","368"
"Male","373"
"","741"
"Tamang",""
"Female","67"
"Male","68"
"","135"
"Thakali",""
"Female","17"
"Male","14"
"","31"
"Thakuri",""
"Female","36"
"Male","27"
"","63"
