"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","219"
"Male","205"
"","424"
"Chhetri",""
"Female","2774"
"Male","2730"
"","5504"
"Damai/Dholi",""
"Female","124"
"Male","117"
"","241"
"Kami",""
"Female","394"
"Male","387"
"","781"
"Others",""
"Female","2"
"Male","14"
"","16"
"Rajdhob",""
"Female","4"
"Male","7"
"","11"
"Sanyasi/Dasnami",""
"Female","221"
"Male","203"
"","424"
"Sarki",""
"Female","279"
"Male","283"
"","562"
"Terai Others",""
"Female","7"
"Male","8"
"","15"
"Thakuri",""
"Female","1306"
"Male","1269"
"","2575"
