"Population by Educational Attainment","Number"
"Beginners",""
"Female","463"
"Male","473"
"","936"
"Graduate and Equivalent",""
"Female","3"
"Male","37"
"","40"
"Intermediate and Equivalent",""
"Female","16"
"Male","106"
"","122"
"Level not Stated",""
"Female","0"
"Male","4"
"","4"
"Lower Secondary (Class 6-8)",""
"Female","298"
"Male","820"
"","1118"
"Non Formal Education",""
"Female","60"
"Male","70"
"","130"
"Others",""
"Female","1"
"Male","2"
"","3"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","6"
"","6"
"Primary Education (1-5 Class)",""
"Female","1420"
"Male","1851"
"","3271"
"Secondary Level (Class 9-10)",""
"Female","81"
"Male","350"
"","431"
"SLC and Equivalent",""
"Female","82"
"Male","289"
"","371"
