"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","28"
"Male","19"
"Brahman - Hill",""
"Female","2166"
"Male","2187"
"Chhetri",""
"Female","1039"
"Male","1130"
"Dalit Others",""
"Female","10"
"Male","13"
"Damai/Dholi",""
"Female","545"
"Male","584"
"Gurung",""
"Female","8"
"Male","8"
"Kami",""
"Female","2150"
"Male","2257"
"Kumal",""
"Female","7"
"Male","4"
"Lohar",""
"Female","110"
"Male","119"
"Magar",""
"Female","13"
"Male","28"
"Musalman",""
"Female","4"
"Male","8"
"Others",""
"Female","7"
"Male","24"
"Sanyasi/Dasnami",""
"Female","101"
"Male","113"
"Sarki",""
"Female","100"
"Male","105"
"Tamang",""
"Female","9"
"Male","10"
"Terai Others",""
"Female","14"
"Male","17"
"Thakuri",""
"Female","3634"
"Male","3693"
"Tharu",""
"Female","9"
"Male","15"
