"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","204"
"Male","218"
"Chhetri",""
"Female","6531"
"Male","6435"
"Dalit Others",""
"Female","7"
"Male","4"
"Damai/Dholi",""
"Female","871"
"Male","858"
"Kami",""
"Female","1965"
"Male","1897"
"Lohar",""
"Female","42"
"Male","43"
"Others",""
"Female","15"
"Male","23"
"Sanyasi/Dasnami",""
"Female","36"
"Male","47"
"Sarki",""
"Female","262"
"Male","264"
"Terai Others",""
"Female","5"
"Male","6"
"Thakuri",""
"Female","821"
"Male","791"
"Tharu",""
"Female","4"
"Male","17"
