"Population by Five Years Age Group","Number"
"0-4",""
"Female","1216"
"Male","1348"
"10-14",""
"Female","1088"
"Male","1065"
"15-19",""
"Female","850"
"Male","795"
"20-24",""
"Female","652"
"Male","583"
"25-29",""
"Female","588"
"Male","502"
"30-34",""
"Female","431"
"Male","428"
"35-39",""
"Female","426"
"Male","422"
"40-44",""
"Female","349"
"Male","325"
"45-49",""
"Female","295"
"Male","369"
"50-54",""
"Female","229"
"Male","253"
"55-59",""
"Female","184"
"Male","204"
"5-9",""
"Female","1258"
"Male","1256"
"60-64",""
"Female","319"
"Male","231"
"65-69",""
"Female","154"
"Male","140"
"70-74",""
"Female","85"
"Male","91"
"75+",""
"Female","72"
"Male","64"
