"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","594"
"Male","576"
"Chhetri",""
"Female","2125"
"Male","2134"
"Dalit Others",""
"Female","563"
"Male","552"
"Damai/Dholi",""
"Female","185"
"Male","195"
"Kami",""
"Female","190"
"Male","207"
"Kumal",""
"Female","73"
"Male","61"
"Lohar",""
"Female","64"
"Male","61"
"Others",""
"Female","15"
"Male","21"
"Sanyasi/Dasnami",""
"Female","224"
"Male","221"
"Sarki",""
"Female","108"
"Male","103"
"Tamang",""
"Female","24"
"Male","18"
"Terai Others",""
"Female","10"
"Male","7"
"Thakuri",""
"Female","1948"
"Male","1959"
