"Population by Educational Attainment","Number"
"Beginners",""
"Female","489"
"Male","547"
"Graduate and Equivalent",""
"Female","25"
"Male","219"
"Intermediate and Equivalent",""
"Female","201"
"Male","863"
"Level not Stated",""
"Female","94"
"Male","151"
"Lower Secondary (Class 6-8)",""
"Female","1777"
"Male","3307"
"Non Formal Education",""
"Female","149"
"Male","196"
"Others",""
"Female","14"
"Male","72"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","50"
"Primary Education (1-5 Class)",""
"Female","5555"
"Male","7035"
"Secondary Level (Class 9-10)",""
"Female","550"
"Male","1827"
"SLC and Equivalent",""
"Female","278"
"Male","1378"
