"Population by Caste Ethinicity","Number"
"Badi",""
"Female","27"
"Male","35"
"","62"
"Bhote",""
"Female","161"
"Male","175"
"","336"
"Brahman - Hill",""
"Female","1408"
"Male","1424"
"","2832"
"Chhetri",""
"Female","13247"
"Male","13541"
"","26788"
"Dalit Others",""
"Female","1564"
"Male","1660"
"","3224"
"Damai/Dholi",""
"Female","831"
"Male","913"
"","1744"
"Kami",""
"Female","2605"
"Male","2618"
"","5223"
"Kumal",""
"Female","96"
"Male","85"
"","181"
"Lohar",""
"Female","64"
"Male","61"
"","125"
"Mallaha",""
"Female","5"
"Male","7"
"","12"
"Newar",""
"Female","60"
"Male","75"
"","135"
"Others",""
"Female","46"
"Male","75"
"","121"
"Sanyasi/Dasnami",""
"Female","343"
"Male","351"
"","694"
"Sarki",""
"Female","235"
"Male","236"
"","471"
"Tamang",""
"Female","2312"
"Male","2027"
"","4339"
"Terai Others",""
"Female","41"
"Male","38"
"","79"
"Thakuri",""
"Female","4196"
"Male","4258"
"","8454"
"Tharu",""
"Female","2"
"Male","10"
"","12"
