"Population by Five Years Age Group","Number"
"0-4",""
"Female","2243"
"Male","2198"
"10-14",""
"Female","2449"
"Male","2531"
"15-19",""
"Female","1830"
"Male","1762"
"20-24",""
"Female","1410"
"Male","1226"
"25-29",""
"Female","1287"
"Male","1115"
"30-34",""
"Female","1060"
"Male","933"
"35-39",""
"Female","960"
"Male","932"
"40-44",""
"Female","731"
"Male","745"
"45-49",""
"Female","648"
"Male","624"
"50-54",""
"Female","585"
"Male","639"
"55-59",""
"Female","373"
"Male","455"
"5-9",""
"Female","2717"
"Male","2647"
"60-64",""
"Female","365"
"Male","452"
"65-69",""
"Female","158"
"Male","197"
"70-74",""
"Female","92"
"Male","127"
"75+",""
"Female","71"
"Male","62"
