"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","9"
"Male","9"
"Brahman - Hill",""
"Female","718"
"Male","620"
"Chhetri",""
"Female","5468"
"Male","4907"
"Dalit Others",""
"Female","15"
"Male","11"
"Damai/Dholi",""
"Female","427"
"Male","363"
"Gaine",""
"Female","14"
"Male","15"
"Gurung",""
"Female","16"
"Male","10"
"Kami",""
"Female","1224"
"Male","1019"
"Magar",""
"Female","982"
"Male","835"
"Others",""
"Female","12"
"Male","13"
"Sanyasi/Dasnami",""
"Female","38"
"Male","38"
"Sarki",""
"Female","144"
"Male","119"
"Thakuri",""
"Female","916"
"Male","754"
