"Population by Five Years Age Group","Number"
"0-4",""
"Female","1525"
"Male","1500"
"10-14",""
"Female","2205"
"Male","2176"
"15-19",""
"Female","1749"
"Male","1420"
"20-24",""
"Female","1386"
"Male","1044"
"25-29",""
"Female","1146"
"Male","926"
"30-34",""
"Female","907"
"Male","707"
"35-39",""
"Female","772"
"Male","660"
"40-44",""
"Female","661"
"Male","547"
"45-49",""
"Female","547"
"Male","463"
"50-54",""
"Female","482"
"Male","462"
"55-59",""
"Female","352"
"Male","350"
"5-9",""
"Female","1911"
"Male","2016"
"60-64",""
"Female","368"
"Male","359"
"65-69",""
"Female","214"
"Male","256"
"70-74",""
"Female","126"
"Male","137"
"75+",""
"Female","105"
"Male","104"
