"Population by Five Years Age Group","Number"
"0-4",""
"Female","9211"
"Male","9200"
"10-14",""
"Female","12022"
"Male","11773"
"15-19",""
"Female","9650"
"Male","7952"
"20-24",""
"Female","7757"
"Male","5820"
"25-29",""
"Female","6159"
"Male","5124"
"30-34",""
"Female","4950"
"Male","3989"
"35-39",""
"Female","4307"
"Male","3728"
"40-44",""
"Female","3799"
"Male","3224"
"45-49",""
"Female","3044"
"Male","2753"
"50-54",""
"Female","2486"
"Male","2564"
"55-59",""
"Female","1874"
"Male","2002"
"5-9",""
"Female","11650"
"Male","11530"
"60-64",""
"Female","1956"
"Male","1928"
"65-69",""
"Female","1093"
"Male","1224"
"70-74",""
"Female","689"
"Male","765"
"75+",""
"Female","557"
"Male","603"
