"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","51"
"Male","41"
"Brahman - Hill",""
"Female","310"
"Male","292"
"Chhetri",""
"Female","8756"
"Male","8012"
"Damai/Dholi",""
"Female","958"
"Male","915"
"Gaine",""
"Female","37"
"Male","29"
"Kami",""
"Female","2756"
"Male","2522"
"Kathabaniyan",""
"Female","5"
"Male","7"
"Magar",""
"Female","4276"
"Male","4191"
"Majhi",""
"Female","15"
"Male","15"
"Musalman",""
"Female","19"
"Male","31"
"Newar",""
"Female","29"
"Male","15"
"Others",""
"Female","21"
"Male","16"
"Sanyasi/Dasnami",""
"Female","861"
"Male","803"
"Sarki",""
"Female","227"
"Male","180"
"Tamang",""
"Female","9"
"Male","2"
"Terai Others",""
"Female","19"
"Male","24"
"Thakuri",""
"Female","313"
"Male","279"
"Tharu",""
"Female","8"
"Male","8"
