"Population by Single Year of Age","Number"
"0",""
"Female","377"
"Male","338"
"1",""
"Female","297"
"Male","354"
"10",""
"Female","619"
"Male","590"
"11",""
"Female","487"
"Male","442"
"12",""
"Female","653"
"Male","592"
"13",""
"Female","477"
"Male","506"
"14",""
"Female","492"
"Male","482"
"15",""
"Female","491"
"Male","467"
"16",""
"Female","490"
"Male","450"
"17",""
"Female","361"
"Male","339"
"18",""
"Female","490"
"Male","415"
"19",""
"Female","316"
"Male","273"
"2",""
"Female","451"
"Male","490"
"20",""
"Female","340"
"Male","270"
"21",""
"Female","352"
"Male","282"
"22",""
"Female","372"
"Male","311"
"23",""
"Female","337"
"Male","236"
"24",""
"Female","314"
"Male","265"
"25",""
"Female","341"
"Male","287"
"26",""
"Female","287"
"Male","221"
"27",""
"Female","285"
"Male","208"
"28",""
"Female","342"
"Male","288"
"29",""
"Female","195"
"Male","150"
"3",""
"Female","508"
"Male","510"
"30",""
"Female","403"
"Male","313"
"31",""
"Female","135"
"Male","133"
"32",""
"Female","232"
"Male","215"
"33",""
"Female","167"
"Male","141"
"34",""
"Female","152"
"Male","139"
"35",""
"Female","410"
"Male","332"
"36",""
"Female","179"
"Male","197"
"37",""
"Female","135"
"Male","108"
"38",""
"Female","229"
"Male","190"
"39",""
"Female","120"
"Male","114"
"4",""
"Female","562"
"Male","569"
"40",""
"Female","377"
"Male","329"
"41",""
"Female","122"
"Male","97"
"42",""
"Female","131"
"Male","172"
"43",""
"Female","85"
"Male","88"
"44",""
"Female","91"
"Male","79"
"45",""
"Female","266"
"Male","252"
"46",""
"Female","116"
"Male","110"
"47",""
"Female","80"
"Male","88"
"48",""
"Female","137"
"Male","129"
"49",""
"Female","98"
"Male","50"
"5",""
"Female","545"
"Male","602"
"50",""
"Female","253"
"Male","267"
"51",""
"Female","77"
"Male","79"
"52",""
"Female","112"
"Male","138"
"53",""
"Female","68"
"Male","99"
"54",""
"Female","67"
"Male","55"
"55",""
"Female","165"
"Male","193"
"56",""
"Female","81"
"Male","85"
"57",""
"Female","61"
"Male","59"
"58",""
"Female","99"
"Male","102"
"59",""
"Female","60"
"Male","55"
"6",""
"Female","561"
"Male","524"
"60",""
"Female","233"
"Male","214"
"61",""
"Female","68"
"Male","66"
"62",""
"Female","65"
"Male","83"
"63",""
"Female","47"
"Male","42"
"64",""
"Female","44"
"Male","37"
"65",""
"Female","151"
"Male","117"
"66",""
"Female","37"
"Male","42"
"67",""
"Female","30"
"Male","39"
"68",""
"Female","61"
"Male","73"
"69",""
"Female","30"
"Male","28"
"7",""
"Female","510"
"Male","478"
"70",""
"Female","84"
"Male","100"
"71",""
"Female","25"
"Male","20"
"72",""
"Female","40"
"Male","43"
"73",""
"Female","8"
"Male","13"
"74",""
"Female","11"
"Male","10"
"75",""
"Female","46"
"Male","38"
"76",""
"Female","4"
"Male","5"
"77",""
"Female","4"
"Male","8"
"78",""
"Female","15"
"Male","14"
"79",""
"Female","3"
"Male","3"
"8",""
"Female","528"
"Male","588"
"80",""
"Female","34"
"Male","31"
"81",""
"Female","3"
"Male","14"
"82",""
"Female","6"
"Male","2"
"83",""
"Female","2"
"Male","3"
"84",""
"Female","4"
"Male","8"
"85",""
"Female","35"
"Male","29"
"9",""
"Female","492"
"Male","448"
