"Population by Educational Attainment","Number"
"Beginners",""
"Female","222"
"Male","248"
"","470"
"Graduate and Equivalent",""
"Female","28"
"Male","85"
"","113"
"Intermediate and Equivalent",""
"Female","240"
"Male","277"
"","517"
"Level not Stated",""
"Female","28"
"Male","28"
"","56"
"Lower Secondary (Class 6-8)",""
"Female","1553"
"Male","1670"
"","3223"
"Non Formal Education",""
"Female","276"
"Male","209"
"","485"
"Others",""
"Female","10"
"Male","5"
"","15"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","23"
"","24"
"Primary Education (1-5 Class)",""
"Female","2982"
"Male","3084"
"","6066"
"Secondary Level (Class 9-10)",""
"Female","651"
"Male","666"
"","1317"
"SLC and Equivalent",""
"Female","458"
"Male","582"
"","1040"
