"Population by Caste Ethinicity","Number"
"Badi",""
"Female","118"
"Male","99"
"","217"
"Brahman - Hill",""
"Female","540"
"Male","490"
"","1030"
"Chhetri",""
"Female","7962"
"Male","7189"
"","15151"
"Dalit Others",""
"Female","35"
"Male","23"
"","58"
"Damai/Dholi",""
"Female","333"
"Male","282"
"","615"
"Gurung",""
"Female","51"
"Male","46"
"","97"
"Kami",""
"Female","1647"
"Male","1564"
"","3211"
"Kumal",""
"Female","37"
"Male","28"
"","65"
"Lohar",""
"Female","12"
"Male","11"
"","23"
"Magar",""
"Female","838"
"Male","862"
"","1700"
"Newar",""
"Female","34"
"Male","25"
"","59"
"Others",""
"Female","7"
"Male","7"
"","14"
"Sanyasi/Dasnami",""
"Female","443"
"Male","375"
"","818"
"Sarki",""
"Female","118"
"Male","108"
"","226"
"Thakuri",""
"Female","869"
"Male","819"
"","1688"
