"Population by Five Years Age Group","Number"
"0-4",""
"Female","769"
"Male","798"
"10-14",""
"Female","1010"
"Male","1051"
"15-19",""
"Female","847"
"Male","730"
"20-24",""
"Female","689"
"Male","515"
"25-29",""
"Female","579"
"Male","409"
"30-34",""
"Female","395"
"Male","331"
"35-39",""
"Female","395"
"Male","325"
"40-44",""
"Female","323"
"Male","274"
"45-49",""
"Female","245"
"Male","255"
"50-54",""
"Female","220"
"Male","237"
"55-59",""
"Female","209"
"Male","226"
"5-9",""
"Female","1015"
"Male","972"
"60-64",""
"Female","191"
"Male","169"
"65-69",""
"Female","101"
"Male","124"
"70-74",""
"Female","49"
"Male","51"
"75+",""
"Female","52"
"Male","37"
