"Industries Employment","Number"
"Accommodation,  food",""
"Female","738"
"Male","691"
"Administrative, support service",""
"Female","2"
"Male","29"
"Agriculture, forestry and  fishing",""
"Female","563"
"Male","737"
"Arts, entertainment, recreation",""
"Female","4"
"Male","10"
"Construction",""
"Female","6"
"Male","43"
"Education",""
"Female","1510"
"Male","2561"
"Electricity, gas and water",""
"Female","4"
"Male","48"
"Financial intermediation and insurance",""
"Female","288"
"Male","293"
"Health, social work",""
"Female","644"
"Male","391"
"Information and communication",""
"Female","10"
"Male","46"
"Manufacturing",""
"Female","376"
"Male","1050"
"Other service activities",""
"Female","350"
"Male","416"
"Professional, scientific, techniqual activity",""
"Female","16"
"Male","52"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","54"
"Male","341"
"Water supply, wet management",""
"Female","46"
"Male","96"
"Wholesale, retail trade",""
"Female","2579"
"Male","3025"
