"Population by Five Years Age Group","Number"
"0-4",""
"Female","4404"
"Male","5023"
"10-14",""
"Female","6387"
"Male","7210"
"15-19",""
"Female","5873"
"Male","5857"
"20-24",""
"Female","6033"
"Male","5560"
"25-29",""
"Female","5185"
"Male","4949"
"30-34",""
"Female","4133"
"Male","3720"
"35-39",""
"Female","3374"
"Male","3379"
"40-44",""
"Female","2656"
"Male","2724"
"45-49",""
"Female","1982"
"Male","2009"
"50-54",""
"Female","1646"
"Male","1683"
"55-59",""
"Female","1259"
"Male","1293"
"5-9",""
"Female","5867"
"Male","6626"
"60-64",""
"Female","1281"
"Male","1116"
"65-69",""
"Female","879"
"Male","765"
"70-74",""
"Female","578"
"Male","535"
"75+",""
"Female","580"
"Male","541"
