"Population by Single Year of Age","Number"
"0",""
"Female","762"
"Male","866"
"1",""
"Female","753"
"Male","870"
"10",""
"Female","1320"
"Male","1576"
"11",""
"Female","1191"
"Male","1369"
"12",""
"Female","1367"
"Male","1623"
"13",""
"Female","1222"
"Male","1361"
"14",""
"Female","1287"
"Male","1281"
"15",""
"Female","1137"
"Male","1211"
"16",""
"Female","1161"
"Male","1157"
"17",""
"Female","1103"
"Male","1077"
"18",""
"Female","1452"
"Male","1447"
"19",""
"Female","1020"
"Male","965"
"2",""
"Female","878"
"Male","996"
"20",""
"Female","1311"
"Male","1094"
"21",""
"Female","1132"
"Male","1004"
"22",""
"Female","1341"
"Male","1226"
"23",""
"Female","1104"
"Male","1102"
"24",""
"Female","1145"
"Male","1134"
"25",""
"Female","1283"
"Male","1165"
"26",""
"Female","1048"
"Male","1008"
"27",""
"Female","1030"
"Male","893"
"28",""
"Female","1172"
"Male","1154"
"29",""
"Female","652"
"Male","729"
"3",""
"Female","979"
"Male","1131"
"30",""
"Female","1380"
"Male","1081"
"31",""
"Female","548"
"Male","584"
"32",""
"Female","902"
"Male","877"
"33",""
"Female","666"
"Male","586"
"34",""
"Female","637"
"Male","592"
"35",""
"Female","1175"
"Male","1123"
"36",""
"Female","628"
"Male","640"
"37",""
"Female","496"
"Male","486"
"38",""
"Female","630"
"Male","695"
"39",""
"Female","445"
"Male","435"
"4",""
"Female","1032"
"Male","1160"
"40",""
"Female","1088"
"Male","1027"
"41",""
"Female","353"
"Male","397"
"42",""
"Female","523"
"Male","542"
"43",""
"Female","385"
"Male","409"
"44",""
"Female","307"
"Male","349"
"45",""
"Female","696"
"Male","764"
"46",""
"Female","360"
"Male","334"
"47",""
"Female","277"
"Male","275"
"48",""
"Female","433"
"Male","417"
"49",""
"Female","216"
"Male","219"
"5",""
"Female","1172"
"Male","1298"
"50",""
"Female","654"
"Male","642"
"51",""
"Female","206"
"Male","233"
"52",""
"Female","341"
"Male","361"
"53",""
"Female","224"
"Male","233"
"54",""
"Female","221"
"Male","214"
"55",""
"Female","412"
"Male","421"
"56",""
"Female","230"
"Male","243"
"57",""
"Female","196"
"Male","202"
"58",""
"Female","246"
"Male","239"
"59",""
"Female","175"
"Male","188"
"6",""
"Female","1128"
"Male","1237"
"60",""
"Female","558"
"Male","447"
"61",""
"Female","200"
"Male","170"
"62",""
"Female","215"
"Male","190"
"63",""
"Female","176"
"Male","178"
"64",""
"Female","132"
"Male","131"
"65",""
"Female","340"
"Male","261"
"66",""
"Female","147"
"Male","132"
"67",""
"Female","127"
"Male","135"
"68",""
"Female","198"
"Male","159"
"69",""
"Female","67"
"Male","78"
"7",""
"Female","1191"
"Male","1304"
"70",""
"Female","321"
"Male","247"
"71",""
"Female","65"
"Male","71"
"72",""
"Female","83"
"Male","93"
"73",""
"Female","59"
"Male","75"
"74",""
"Female","50"
"Male","49"
"75",""
"Female","130"
"Male","108"
"76",""
"Female","53"
"Male","52"
"77",""
"Female","32"
"Male","47"
"78",""
"Female","58"
"Male","69"
"79",""
"Female","26"
"Male","29"
"8",""
"Female","1224"
"Male","1463"
"80",""
"Female","62"
"Male","58"
"81",""
"Female","22"
"Male","17"
"82",""
"Female","31"
"Male","34"
"83",""
"Female","17"
"Male","20"
"84",""
"Female","22"
"Male","23"
"85",""
"Female","127"
"Male","84"
"9",""
"Female","1152"
"Male","1324"
