"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","171"
"Male","142"
"Bote",""
"Female","16"
"Male","13"
"Brahman - Hill",""
"Female","1166"
"Male","1021"
"Chhetri",""
"Female","7003"
"Male","5776"
"Damai/Dholi",""
"Female","805"
"Male","696"
"Gaine",""
"Female","52"
"Male","45"
"Gurung",""
"Female","521"
"Male","434"
"Kami",""
"Female","6563"
"Male","5207"
"Magar",""
"Female","6127"
"Male","5354"
"Majhi",""
"Female","14"
"Male","9"
"Musalman",""
"Female","14"
"Male","15"
"Newar",""
"Female","39"
"Male","28"
"Others",""
"Female","36"
"Male","13"
"Raji",""
"Female","20"
"Male","14"
"Sanyasi/Dasnami",""
"Female","166"
"Male","164"
"Sarki",""
"Female","440"
"Male","369"
"Thakali",""
"Female","5"
"Male","6"
"Thakuri",""
"Female","693"
"Male","548"
"Tharu",""
"Female","16"
"Male","13"
"Yadav",""
"Female","16"
"Male","15"
