"Population by Educational Attainment","Number"
"Beginners",""
"Female","438"
"Male","504"
"","942"
"Graduate and Equivalent",""
"Female","21"
"Male","99"
"","120"
"Intermediate and Equivalent",""
"Female","194"
"Male","261"
"","455"
"Level not Stated",""
"Female","35"
"Male","24"
"","59"
"Lower Secondary (Class 6-8)",""
"Female","2543"
"Male","2573"
"","5116"
"Non Formal Education",""
"Female","975"
"Male","632"
"","1607"
"Others",""
"Female","4"
"Male","9"
"","13"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","22"
"","24"
"Primary Education (1-5 Class)",""
"Female","4714"
"Male","4834"
"","9548"
"Secondary Level (Class 9-10)",""
"Female","886"
"Male","1054"
"","1940"
"SLC and Equivalent",""
"Female","452"
"Male","642"
"","1094"
