"Population by Caste Ethinicity","Number"
"Badi",""
"Female","27"
"Male","29"
"","56"
"Brahman - Hill",""
"Female","3192"
"Male","2791"
"","5983"
"Chhetri",""
"Female","4855"
"Male","4542"
"","9397"
"Damai/Dholi",""
"Female","1121"
"Male","1016"
"","2137"
"Gurung",""
"Female","50"
"Male","40"
"","90"
"Kami",""
"Female","3335"
"Male","3105"
"","6440"
"Kumal",""
"Female","19"
"Male","11"
"","30"
"Magar",""
"Female","2577"
"Male","2438"
"","5015"
"Majhi",""
"Female","10"
"Male","14"
"","24"
"Newar",""
"Female","110"
"Male","100"
"","210"
"Others",""
"Female","35"
"Male","15"
"","50"
"Raji",""
"Female","176"
"Male","159"
"","335"
"Sanyasi/Dasnami",""
"Female","445"
"Male","413"
"","858"
"Sarki",""
"Female","357"
"Male","300"
"","657"
"Terai Others",""
"Female","114"
"Male","102"
"","216"
"Thakuri",""
"Female","386"
"Male","347"
"","733"
