"Population by Age of First Marriage","Number"
"10-14 Years",""
"Female","51769"
"Male","12358"
"15-19 Years",""
"Female","265793"
"Male","158573"
"20-24 Years",""
"Female","69566"
"Male","122191"
"25-29 Years",""
"Female","9887"
"Male","32997"
"30-34 Years",""
"Female","2048"
"Male","7163"
"35-39 Years",""
"Female","631"
"Male","2001"
"40-44 Years",""
"Female","225"
"Male","639"
"45-49 Years",""
"Female","96"
"Male","229"
"50 Years Above",""
"Female","65"
"Male","186"
"Below 10 Year",""
"Female","2169"
"Male","491"
