"Population by Five Years Age Group","Number"
"0-4",""
"Female","100095"
"Male","103321"
"10-14",""
"Female","111200"
"Male","111912"
"15-19",""
"Female","89542"
"Male","81383"
"20-24",""
"Female","75174"
"Male","61487"
"25-29",""
"Female","61620"
"Male","53130"
"30-34",""
"Female","48813"
"Male","41735"
"35-39",""
"Female","44165"
"Male","40374"
"40-44",""
"Female","36554"
"Male","34507"
"45-49",""
"Female","29940"
"Male","30001"
"50-54",""
"Female","24290"
"Male","26239"
"55-59",""
"Female","19633"
"Male","21932"
"5-9",""
"Female","112805"
"Male","114115"
"60-64",""
"Female","22152"
"Male","20119"
"65-69",""
"Female","12814"
"Male","12983"
"70-74",""
"Female","7162"
"Male","7637"
"75+",""
"Female","6536"
"Male","7048"
