"Gross value added by industry (at constant price)","Rs (,000)"
"Agriculture and forestry","12782163"
"Construction","3049238"
"Education","4849917"
"Electricty gas and water","801517"
"Financial intermediation","358576"
"Fishing","8179"
"Health and social work","1048389"
"Hotels and restaurants","808387"
"Manufacturing","402546"
"Mining and quarrying","154131"
"Other community, social and personal service activities","2330424"
"Public administration and defence","1863160"
"Real estate, renting and business activities","1953630"
"Transport, storage and communications","652145"
"Wholesale and retail trade","2203766"
"Total","33266168"
