"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1082"
"Male","935"
"","2017"
"Chhetri",""
"Female","1675"
"Male","1451"
"","3126"
"Damai/Dholi",""
"Female","213"
"Male","179"
"","392"
"Gaine",""
"Female","24"
"Male","20"
"","44"
"Gharti/Bhujel",""
"Female","379"
"Male","344"
"","723"
"Hajam/Thakur",""
"Female","28"
"Male","31"
"","59"
"Kami",""
"Female","489"
"Male","369"
"","858"
"Kumal",""
"Female","29"
"Male","31"
"","60"
"Limbu",""
"Female","13"
"Male","7"
"","20"
"Magar",""
"Female","1429"
"Male","1252"
"","2681"
"Majhi",""
"Female","78"
"Male","59"
"","137"
"Newar",""
"Female","1088"
"Male","903"
"","1991"
"Others",""
"Female","38"
"Male","46"
"","84"
"Rai",""
"Female","1971"
"Male","1671"
"","3642"
"Sanyasi/Dasnami",""
"Female","54"
"Male","48"
"","102"
"Sarki",""
"Female","190"
"Male","147"
"","337"
"Tamang",""
"Female","653"
"Male","542"
"","1195"
"Thakuri",""
"Female","17"
"Male","12"
"","29"
"Thami",""
"Female","110"
"Male","80"
"","190"
