"Population by Five Years Age Group","Number"
"0-4",""
"Female","1184"
"Male","1276"
"10-14",""
"Female","1737"
"Male","1748"
"15-19",""
"Female","1715"
"Male","1546"
"20-24",""
"Female","1466"
"Male","1121"
"25-29",""
"Female","1233"
"Male","1064"
"30-34",""
"Female","864"
"Male","816"
"35-39",""
"Female","800"
"Male","713"
"40-44",""
"Female","800"
"Male","708"
"45-49",""
"Female","745"
"Male","650"
"50-54",""
"Female","672"
"Male","578"
"55-59",""
"Female","477"
"Male","494"
"5-9",""
"Female","1431"
"Male","1465"
"60-64",""
"Female","473"
"Male","406"
"65-69",""
"Female","335"
"Male","347"
"70-74",""
"Female","248"
"Male","246"
"75+",""
"Female","380"
"Male","369"
