"Population by Single Year of Age","Number"
"0",""
"Female","182"
"Male","186"
"1",""
"Female","155"
"Male","183"
"10",""
"Female","241"
"Male","249"
"11",""
"Female","233"
"Male","238"
"12",""
"Female","290"
"Male","276"
"13",""
"Female","253"
"Male","272"
"14",""
"Female","302"
"Male","242"
"15",""
"Female","282"
"Male","287"
"16",""
"Female","265"
"Male","248"
"17",""
"Female","262"
"Male","267"
"18",""
"Female","295"
"Male","233"
"19",""
"Female","197"
"Male","158"
"2",""
"Female","170"
"Male","178"
"20",""
"Female","194"
"Male","148"
"21",""
"Female","183"
"Male","138"
"22",""
"Female","217"
"Male","123"
"23",""
"Female","168"
"Male","104"
"24",""
"Female","142"
"Male","110"
"25",""
"Female","180"
"Male","103"
"26",""
"Female","139"
"Male","104"
"27",""
"Female","165"
"Male","97"
"28",""
"Female","146"
"Male","94"
"29",""
"Female","101"
"Male","75"
"3",""
"Female","195"
"Male","189"
"30",""
"Female","170"
"Male","96"
"31",""
"Female","73"
"Male","57"
"32",""
"Female","138"
"Male","99"
"33",""
"Female","105"
"Male","75"
"34",""
"Female","102"
"Male","73"
"35",""
"Female","148"
"Male","97"
"36",""
"Female","126"
"Male","74"
"37",""
"Female","108"
"Male","102"
"38",""
"Female","144"
"Male","91"
"39",""
"Female","100"
"Male","81"
"4",""
"Female","223"
"Male","209"
"40",""
"Female","180"
"Male","124"
"41",""
"Female","102"
"Male","86"
"42",""
"Female","113"
"Male","109"
"43",""
"Female","133"
"Male","91"
"44",""
"Female","120"
"Male","82"
"45",""
"Female","148"
"Male","122"
"46",""
"Female","112"
"Male","115"
"47",""
"Female","106"
"Male","95"
"48",""
"Female","122"
"Male","118"
"49",""
"Female","83"
"Male","97"
"5",""
"Female","224"
"Male","236"
"50",""
"Female","153"
"Male","134"
"51",""
"Female","87"
"Male","91"
"52",""
"Female","92"
"Male","102"
"53",""
"Female","85"
"Male","94"
"54",""
"Female","99"
"Male","64"
"55",""
"Female","81"
"Male","70"
"56",""
"Female","96"
"Male","69"
"57",""
"Female","92"
"Male","77"
"58",""
"Female","91"
"Male","91"
"59",""
"Female","73"
"Male","79"
"6",""
"Female","212"
"Male","210"
"60",""
"Female","112"
"Male","94"
"61",""
"Female","69"
"Male","58"
"62",""
"Female","93"
"Male","82"
"63",""
"Female","69"
"Male","69"
"64",""
"Female","62"
"Male","57"
"65",""
"Female","66"
"Male","75"
"66",""
"Female","53"
"Male","30"
"67",""
"Female","80"
"Male","74"
"68",""
"Female","50"
"Male","76"
"69",""
"Female","35"
"Male","40"
"7",""
"Female","263"
"Male","295"
"70",""
"Female","62"
"Male","78"
"71",""
"Female","21"
"Male","38"
"72",""
"Female","44"
"Male","45"
"73",""
"Female","35"
"Male","38"
"74",""
"Female","30"
"Male","27"
"75",""
"Female","44"
"Male","33"
"76",""
"Female","34"
"Male","25"
"77",""
"Female","34"
"Male","33"
"78",""
"Female","40"
"Male","42"
"79",""
"Female","17"
"Male","16"
"8",""
"Female","263"
"Male","257"
"80",""
"Female","23"
"Male","24"
"81",""
"Female","19"
"Male","14"
"82",""
"Female","10"
"Male","17"
"83",""
"Female","7"
"Male","11"
"84",""
"Female","10"
"Male","7"
"85",""
"Female","51"
"Male","40"
"9",""
"Female","230"
"Male","212"
