"Population by Mother tongue","Number"
"Bantawa",""
"Female","266"
"Male","210"
"","476"
"Bhujel",""
"Female","35"
"Male","33"
"","68"
"Dungmali",""
"Female","2160"
"Male","1852"
"","4012"
"Khaling",""
"Female","21"
"Male","13"
"","34"
"Limbu",""
"Female","8"
"Male","11"
"","19"
"Magar",""
"Female","139"
"Male","115"
"","254"
"Maithili",""
"Female","4"
"Male","10"
"","14"
"Nepali",""
"Female","4520"
"Male","3965"
"","8485"
"Newar",""
"Female","170"
"Male","132"
"","302"
"Others",""
"Female","22"
"Male","13"
"","35"
"Rai",""
"Female","166"
"Male","131"
"","297"
"Sherpa",""
"Female","106"
"Male","69"
"","175"
"Tamang",""
"Female","659"
"Male","564"
"","1223"
