"Population by Mother tongue","Number"
"Bantawa",""
"Female","3332"
"Male","2880"
"Bhujel",""
"Female","71"
"Male","59"
"Chamling",""
"Female","285"
"Male","248"
"Magar",""
"Female","328"
"Male","295"
"Maithili",""
"Female","10"
"Male","23"
"Nepali",""
"Female","5041"
"Male","4355"
"Newar",""
"Female","100"
"Male","107"
"Not Reported",""
"Female","13"
"Male","6"
"Others",""
"Female","17"
"Male","19"
"Rai",""
"Female","47"
"Male","56"
"Sherpa",""
"Female","54"
"Male","42"
"Tamang",""
"Female","813"
"Male","687"
