"Population by Five Years Age Group","Number"
"0-4",""
"Female","1525"
"Male","1602"
"10-14",""
"Female","2072"
"Male","2114"
"15-19",""
"Female","1981"
"Male","1818"
"20-24",""
"Female","1515"
"Male","929"
"25-29",""
"Female","1223"
"Male","760"
"30-34",""
"Female","890"
"Male","709"
"35-39",""
"Female","871"
"Male","686"
"40-44",""
"Female","863"
"Male","660"
"45-49",""
"Female","894"
"Male","712"
"50-54",""
"Female","740"
"Male","773"
"55-59",""
"Female","561"
"Male","568"
"5-9",""
"Female","1917"
"Male","1983"
"60-64",""
"Female","517"
"Male","510"
"65-69",""
"Female","402"
"Male","408"
"70-74",""
"Female","281"
"Male","277"
"75+",""
"Female","433"
"Male","418"
