"Industries Types","Number"
"Accommodation and food","468"
"Administrative and support service activity","8"
"Agriculture, forestry and fishing","335"
"Art, entertainment and recreation","6"
"Construction","2"
"Education","389"
"Electricty gas and water","6"
"Financial intermediation and insurance","153"
"Health and social work","283"
"Information and communications","5"
"Manufacturing","428"
"Mining and quarrying","0"
"Other service activities","217"
"Professional,scientific and techniqual activity","14"
"Real state, renting and business activities","0"
"Transport and storage","33"
"Water supply, wet management","3"
"Wholesale and retail trade","1724"
"Total","4074"
