"Population by Five Years Age Group","Number"
"0-4",""
"Female","794"
"Male","830"
"10-14",""
"Female","1188"
"Male","1212"
"15-19",""
"Female","1173"
"Male","1066"
"20-24",""
"Female","957"
"Male","525"
"25-29",""
"Female","827"
"Male","452"
"30-34",""
"Female","664"
"Male","410"
"35-39",""
"Female","599"
"Male","409"
"40-44",""
"Female","614"
"Male","469"
"45-49",""
"Female","532"
"Male","450"
"50-54",""
"Female","438"
"Male","439"
"55-59",""
"Female","341"
"Male","320"
"5-9",""
"Female","1015"
"Male","981"
"60-64",""
"Female","288"
"Male","255"
"65-69",""
"Female","188"
"Male","194"
"70-74",""
"Female","154"
"Male","158"
"75+",""
"Female","204"
"Male","176"
