"Population by Five Years Age Group","Number"
"0-4",""
"Female","1122"
"Male","1175"
"10-14",""
"Female","1717"
"Male","1637"
"15-19",""
"Female","1521"
"Male","1345"
"20-24",""
"Female","1150"
"Male","631"
"25-29",""
"Female","1033"
"Male","533"
"30-34",""
"Female","904"
"Male","563"
"35-39",""
"Female","800"
"Male","524"
"40-44",""
"Female","731"
"Male","595"
"45-49",""
"Female","675"
"Male","584"
"50-54",""
"Female","598"
"Male","606"
"55-59",""
"Female","491"
"Male","467"
"5-9",""
"Female","1532"
"Male","1491"
"60-64",""
"Female","380"
"Male","395"
"65-69",""
"Female","288"
"Male","267"
"70-74",""
"Female","198"
"Male","211"
"75+",""
"Female","323"
"Male","313"
