"Population by Mother tongue","Number"
"Bantawa",""
"Female","3992"
"Male","3465"
"Chamling",""
"Female","118"
"Male","94"
"Chhiling",""
"Female","984"
"Male","891"
"Chhintang",""
"Female","1725"
"Male","1723"
"Dungmali",""
"Female","37"
"Male","25"
"Khaling",""
"Female","23"
"Male","20"
"Kuki",""
"Female","4"
"Male","7"
"Limbu",""
"Female","18"
"Male","12"
"Magar",""
"Female","152"
"Male","125"
"Maithili",""
"Female","7"
"Male","10"
"Nepali",""
"Female","2497"
"Male","2327"
"Newar",""
"Female","19"
"Male","17"
"Not Reported",""
"Female","15"
"Male","9"
"Others",""
"Female","33"
"Male","28"
"Rai",""
"Female","76"
"Male","47"
"Tamang",""
"Female","25"
"Male","35"
"Tharu",""
"Female","4"
"Male","10"
"Thulung",""
"Female","22"
"Male","20"
"Wambule",""
"Female","78"
"Male","66"
