"Population by disability type","Number"
"Blind/low vision",""
"Female","21"
"Male","29"
"","50"
"Deaf/hard of hearing",""
"Female","59"
"Male","100"
"","159"
"Deaf-Blind",""
"Female","8"
"Male","7"
"","15"
"Intellectual disable",""
"Female","7"
"Male","4"
"","11"
"Mental disable",""
"Female","7"
"Male","17"
"","24"
"Multiple disable",""
"Female","40"
"Male","49"
"","89"
"No disability",""
"Female","9580"
"Male","8598"
"","18178"
"Physical",""
"Female","66"
"Male","91"
"","157"
"Speech problem",""
"Female","41"
"Male","36"
"","77"
