"Population by Mother tongue","Number"
"Bantawa",""
"Female","3992"
"Male","3465"
"","7457"
"Chamling",""
"Female","118"
"Male","94"
"","212"
"Chhiling",""
"Female","984"
"Male","891"
"","1875"
"Chhintang",""
"Female","1725"
"Male","1723"
"","3448"
"Dungmali",""
"Female","37"
"Male","25"
"","62"
"Khaling",""
"Female","23"
"Male","20"
"","43"
"Kuki",""
"Female","4"
"Male","7"
"","11"
"Limbu",""
"Female","18"
"Male","12"
"","30"
"Magar",""
"Female","152"
"Male","125"
"","277"
"Maithili",""
"Female","7"
"Male","10"
"","17"
"Nepali",""
"Female","2497"
"Male","2327"
"","4824"
"Newar",""
"Female","19"
"Male","17"
"","36"
"Not Reported",""
"Female","15"
"Male","9"
"","24"
"Others",""
"Female","33"
"Male","28"
"","61"
"Rai",""
"Female","76"
"Male","47"
"","123"
"Tamang",""
"Female","25"
"Male","35"
"","60"
"Tharu",""
"Female","4"
"Male","10"
"","14"
"Thulung",""
"Female","22"
"Male","20"
"","42"
"Wambule",""
"Female","78"
"Male","66"
"","144"
