"Population by Single Year of Age","Number"
"0",""
"Female","207"
"Male","228"
"1",""
"Female","220"
"Male","219"
"10",""
"Female","396"
"Male","454"
"11",""
"Female","375"
"Male","368"
"12",""
"Female","400"
"Male","463"
"13",""
"Female","408"
"Male","410"
"14",""
"Female","431"
"Male","366"
"15",""
"Female","454"
"Male","433"
"16",""
"Female","393"
"Male","419"
"17",""
"Female","421"
"Male","419"
"18",""
"Female","431"
"Male","431"
"19",""
"Female","342"
"Male","294"
"2",""
"Female","189"
"Male","230"
"20",""
"Female","365"
"Male","259"
"21",""
"Female","309"
"Male","230"
"22",""
"Female","371"
"Male","290"
"23",""
"Female","339"
"Male","238"
"24",""
"Female","363"
"Male","226"
"25",""
"Female","374"
"Male","234"
"26",""
"Female","324"
"Male","208"
"27",""
"Female","290"
"Male","183"
"28",""
"Female","290"
"Male","210"
"29",""
"Female","227"
"Male","155"
"3",""
"Female","234"
"Male","239"
"30",""
"Female","353"
"Male","281"
"31",""
"Female","214"
"Male","163"
"32",""
"Female","243"
"Male","239"
"33",""
"Female","192"
"Male","149"
"34",""
"Female","180"
"Male","184"
"35",""
"Female","271"
"Male","196"
"36",""
"Female","228"
"Male","197"
"37",""
"Female","181"
"Male","135"
"38",""
"Female","217"
"Male","175"
"39",""
"Female","168"
"Male","147"
"4",""
"Female","302"
"Male","288"
"40",""
"Female","287"
"Male","243"
"41",""
"Female","176"
"Male","142"
"42",""
"Female","229"
"Male","207"
"43",""
"Female","194"
"Male","194"
"44",""
"Female","149"
"Male","144"
"45",""
"Female","239"
"Male","200"
"46",""
"Female","165"
"Male","154"
"47",""
"Female","146"
"Male","166"
"48",""
"Female","183"
"Male","163"
"49",""
"Female","156"
"Male","148"
"5",""
"Female","326"
"Male","354"
"50",""
"Female","210"
"Male","190"
"51",""
"Female","139"
"Male","168"
"52",""
"Female","169"
"Male","172"
"53",""
"Female","134"
"Male","144"
"54",""
"Female","126"
"Male","146"
"55",""
"Female","133"
"Male","177"
"56",""
"Female","139"
"Male","133"
"57",""
"Female","105"
"Male","118"
"58",""
"Female","137"
"Male","131"
"59",""
"Female","74"
"Male","101"
"6",""
"Female","330"
"Male","354"
"60",""
"Female","122"
"Male","122"
"61",""
"Female","90"
"Male","101"
"62",""
"Female","88"
"Male","98"
"63",""
"Female","71"
"Male","87"
"64",""
"Female","84"
"Male","87"
"65",""
"Female","99"
"Male","80"
"66",""
"Female","53"
"Male","62"
"67",""
"Female","59"
"Male","76"
"68",""
"Female","67"
"Male","87"
"69",""
"Female","44"
"Male","53"
"7",""
"Female","399"
"Male","385"
"70",""
"Female","70"
"Male","56"
"71",""
"Female","29"
"Male","48"
"72",""
"Female","44"
"Male","54"
"73",""
"Female","42"
"Male","40"
"74",""
"Female","35"
"Male","41"
"75",""
"Female","53"
"Male","51"
"76",""
"Female","26"
"Male","32"
"77",""
"Female","32"
"Male","35"
"78",""
"Female","42"
"Male","34"
"79",""
"Female","14"
"Male","23"
"8",""
"Female","370"
"Male","373"
"80",""
"Female","31"
"Male","33"
"81",""
"Female","12"
"Male","23"
"82",""
"Female","16"
"Male","17"
"83",""
"Female","16"
"Male","14"
"84",""
"Female","15"
"Male","21"
"85",""
"Female","72"
"Male","66"
"9",""
"Female","343"
"Male","333"
