"Population by Five Years Age Group","Number"
"0-4",""
"Female","1631"
"Male","1744"
"10-14",""
"Female","2678"
"Male","2986"
"15-19",""
"Female","2874"
"Male","2678"
"20-24",""
"Female","2791"
"Male","2242"
"25-29",""
"Female","2384"
"Male","1997"
"30-34",""
"Female","1951"
"Male","1646"
"35-39",""
"Female","1705"
"Male","1455"
"40-44",""
"Female","1528"
"Male","1441"
"45-49",""
"Female","1255"
"Male","1259"
"50-54",""
"Female","1126"
"Male","1156"
"55-59",""
"Female","854"
"Male","944"
"5-9",""
"Female","2455"
"Male","2565"
"60-64",""
"Female","721"
"Male","734"
"65-69",""
"Female","485"
"Male","536"
"70-74",""
"Female","297"
"Male","369"
"75+",""
"Female","406"
"Male","437"
