"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1996"
"Male","1914"
"Chhetri",""
"Female","1904"
"Male","1823"
"Damai/Dholi",""
"Female","147"
"Male","144"
"Foreigner",""
"Female","12"
"Male","9"
"Gharti/Bhujel",""
"Female","61"
"Male","48"
"Gurung",""
"Female","193"
"Male","219"
"Halwai",""
"Female","7"
"Male","8"
"Hyolmo",""
"Female","253"
"Male","197"
"Kami",""
"Female","440"
"Male","422"
"Lepcha",""
"Female","76"
"Male","113"
"Limbu",""
"Female","1447"
"Male","1342"
"Magar",""
"Female","329"
"Male","311"
"Mali",""
"Female","11"
"Male","12"
"Newar",""
"Female","264"
"Male","255"
"Others",""
"Female","33"
"Male","45"
"Rai",""
"Female","1732"
"Male","1784"
"Sanyasi/Dasnami",""
"Female","21"
"Male","15"
"Sarki",""
"Female","76"
"Male","76"
"Sherpa",""
"Female","433"
"Male","396"
"Sunuwar",""
"Female","76"
"Male","73"
"Tamang",""
"Female","576"
"Male","579"
"Thami",""
"Female","255"
"Male","282"
"Tharu",""
"Female","9"
"Male","7"
"Undefined Others",""
"Female","14"
"Male","18"
"Yakkha",""
"Female","302"
"Male","285"
