"Population by Five Years Age Group","Number"
"0-4",""
"Female","863"
"Male","876"
"10-14",""
"Female","1398"
"Male","1455"
"15-19",""
"Female","1436"
"Male","1306"
"20-24",""
"Female","1138"
"Male","745"
"25-29",""
"Female","918"
"Male","564"
"30-34",""
"Female","711"
"Male","508"
"35-39",""
"Female","701"
"Male","506"
"40-44",""
"Female","701"
"Male","544"
"45-49",""
"Female","569"
"Male","557"
"50-54",""
"Female","516"
"Male","501"
"55-59",""
"Female","380"
"Male","371"
"5-9",""
"Female","1238"
"Male","1174"
"60-64",""
"Female","298"
"Male","334"
"65-69",""
"Female","237"
"Male","244"
"70-74",""
"Female","151"
"Male","203"
"75+",""
"Female","252"
"Male","224"
