"Population by Five Years Age Group","Number"
"0-4",""
"Female","608"
"Male","634"
"10-14",""
"Female","1249"
"Male","1210"
"15-19",""
"Female","1107"
"Male","1120"
"20-24",""
"Female","926"
"Male","725"
"25-29",""
"Female","869"
"Male","692"
"30-34",""
"Female","744"
"Male","602"
"35-39",""
"Female","672"
"Male","623"
"40-44",""
"Female","603"
"Male","578"
"45-49",""
"Female","478"
"Male","473"
"50-54",""
"Female","409"
"Male","509"
"55-59",""
"Female","319"
"Male","362"
"5-9",""
"Female","1020"
"Male","922"
"60-64",""
"Female","248"
"Male","319"
"65-69",""
"Female","200"
"Male","236"
"70-74",""
"Female","124"
"Male","139"
"75+",""
"Female","170"
"Male","245"
