"Population by Mother tongue","Number"
"Bangla",""
"Female","73"
"Male","62"
"Bantawa",""
"Female","127"
"Male","102"
"Bhojpuri",""
"Female","39"
"Male","54"
"Bhujel",""
"Female","26"
"Male","20"
"Chamling",""
"Female","54"
"Male","54"
"Danuwar",""
"Female","377"
"Male","345"
"Dhimal",""
"Female","245"
"Male","209"
"Gurung",""
"Female","90"
"Male","81"
"Hindi",""
"Female","66"
"Male","73"
"Khaling",""
"Female","7"
"Male","4"
"Kisan",""
"Female","9"
"Male","11"
"Kulung",""
"Female","13"
"Male","10"
"Kumal",""
"Female","89"
"Male","110"
"Limbu",""
"Female","1518"
"Male","1361"
"Magar",""
"Female","706"
"Male","638"
"Maithili",""
"Female","557"
"Male","587"
"Majhi",""
"Female","46"
"Male","47"
"Meche",""
"Female","88"
"Male","79"
"Mewahang",""
"Female","6"
"Male","6"
"Nepali",""
"Female","23618"
"Male","20871"
"Newar",""
"Female","284"
"Male","250"
"Not Reported",""
"Female","40"
"Male","31"
"Others",""
"Female","74"
"Male","72"
"Rai",""
"Female","819"
"Male","730"
"Rajbanshi",""
"Female","602"
"Male","602"
"Rajsthani",""
"Female","48"
"Male","44"
"Sampang",""
"Female","21"
"Male","27"
"Santhali",""
"Female","299"
"Male","308"
"Sherpa",""
"Female","22"
"Male","11"
"Sign Language",""
"Female","9"
"Male","6"
"Sunuwar",""
"Female","37"
"Male","27"
"Tajpuriya",""
"Female","10"
"Male","7"
"Tamang",""
"Female","957"
"Male","842"
"Tharu",""
"Female","530"
"Male","478"
"Thulung",""
"Female","8"
"Male","13"
"Uranw/Urau",""
"Female","143"
"Male","127"
"Urdu",""
"Female","97"
"Male","103"
"Yakkha",""
"Female","14"
"Male","11"
"Yamphu/Yamphe",""
"Female","12"
"Male","12"
