"Population by Five Years Age Group","Number"
"0-4",""
"Female","1531"
"Male","1634"
"10-14",""
"Female","2124"
"Male","2140"
"15-19",""
"Female","1912"
"Male","1726"
"20-24",""
"Female","1763"
"Male","1032"
"25-29",""
"Female","1585"
"Male","930"
"30-34",""
"Female","1278"
"Male","861"
"35-39",""
"Female","1239"
"Male","956"
"40-44",""
"Female","1029"
"Male","925"
"45-49",""
"Female","861"
"Male","822"
"50-54",""
"Female","732"
"Male","709"
"55-59",""
"Female","553"
"Male","587"
"5-9",""
"Female","1828"
"Male","1836"
"60-64",""
"Female","568"
"Male","579"
"65-69",""
"Female","383"
"Male","394"
"70-74",""
"Female","264"
"Male","303"
"75+",""
"Female","295"
"Male","295"
