"Population by disability type","Number"
"Blind/low vision",""
"Female","50"
"Male","64"
"","114"
"Deaf/hard of hearing",""
"Female","41"
"Male","52"
"","93"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","10"
"Male","9"
"","19"
"Mental disable",""
"Female","36"
"Male","34"
"","70"
"Multiple disable",""
"Female","34"
"Male","39"
"","73"
"No disability",""
"Female","17574"
"Male","15217"
"","32791"
"Physical",""
"Female","145"
"Male","227"
"","372"
"Speech problem",""
"Female","49"
"Male","62"
"","111"
