"Population by Mother tongue","Number"
"Bangla",""
"Female","79"
"Male","76"
"","155"
"Bantawa",""
"Female","16"
"Male","10"
"","26"
"Bhojpuri",""
"Female","41"
"Male","35"
"","76"
"Bhujel",""
"Female","19"
"Male","15"
"","34"
"Ganagai",""
"Female","20"
"Male","14"
"","34"
"Gurung",""
"Female","36"
"Male","30"
"","66"
"Hindi",""
"Female","5"
"Male","6"
"","11"
"Limbu",""
"Female","704"
"Male","608"
"","1312"
"Magar",""
"Female","139"
"Male","118"
"","257"
"Maithili",""
"Female","1385"
"Male","1319"
"","2704"
"Majhi",""
"Female","17"
"Male","14"
"","31"
"Meche",""
"Female","80"
"Male","77"
"","157"
"Nepali",""
"Female","7284"
"Male","6056"
"","13340"
"Newar",""
"Female","314"
"Male","282"
"","596"
"Not Reported",""
"Female","20"
"Male","22"
"","42"
"Others",""
"Female","36"
"Male","28"
"","64"
"Rai",""
"Female","271"
"Male","265"
"","536"
"Rajbanshi",""
"Female","4057"
"Male","3646"
"","7703"
"Santhali",""
"Female","1313"
"Male","1273"
"","2586"
"Sherpa",""
"Female","30"
"Male","23"
"","53"
"Sign Language",""
"Female","4"
"Male","7"
"","11"
"Sunuwar",""
"Female","21"
"Male","19"
"","40"
"Tajpuriya",""
"Female","81"
"Male","74"
"","155"
"Tamang",""
"Female","356"
"Male","281"
"","637"
"Tharu",""
"Female","106"
"Male","82"
"","188"
"Urdu",""
"Female","1509"
"Male","1330"
"","2839"
