"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","8"
"Male","10"
"","18"
"Badi",""
"Female","13"
"Male","16"
"","29"
"Bangali",""
"Female","125"
"Male","145"
"","270"
"Bantaba",""
"Female","17"
"Male","19"
"","36"
"Bhote",""
"Female","10"
"Male","16"
"","26"
"Bote",""
"Female","13"
"Male","12"
"","25"
"Brahman - Hill",""
"Female","9993"
"Male","8997"
"","18990"
"Brahman - Tarai",""
"Female","60"
"Male","60"
"","120"
"Byasi/Sauka",""
"Female","7"
"Male","12"
"","19"
"Chamar/ Harijan/ Ram",""
"Female","40"
"Male","45"
"","85"
"Chhetri",""
"Female","8277"
"Male","7123"
"","15400"
"Dalit Others",""
"Female","28"
"Male","23"
"","51"
"Damai/Dholi",""
"Female","1236"
"Male","1033"
"","2269"
"Danuwar",""
"Female","8"
"Male","7"
"","15"
"Dev",""
"Female","8"
"Male","3"
"","11"
"Dhanuk",""
"Female","56"
"Male","68"
"","124"
"Dhimal",""
"Female","2412"
"Male","2020"
"","4432"
"Dhobi",""
"Female","17"
"Male","22"
"","39"
"Dom",""
"Female","69"
"Male","66"
"","135"
"Dusadh/ Pasawan/ Pasi",""
"Female","7"
"Male","7"
"","14"
"Foreigner",""
"Female","6"
"Male","6"
"","12"
"Gharti/Bhujel",""
"Female","453"
"Male","365"
"","818"
"Gurung",""
"Female","335"
"Male","279"
"","614"
"Hajam/Thakur",""
"Female","91"
"Male","123"
"","214"
"Halwai",""
"Female","75"
"Male","95"
"","170"
"Janajati Others",""
"Female","33"
"Male","37"
"","70"
"Jhangad/ Dhagar",""
"Female","178"
"Male","173"
"","351"
"Kalwar",""
"Female","106"
"Male","119"
"","225"
"Kami",""
"Female","1545"
"Male","1349"
"","2894"
"Kanu",""
"Female","5"
"Male","6"
"","11"
"Kathabaniyan",""
"Female","135"
"Male","175"
"","310"
"Kayastha",""
"Female","27"
"Male","22"
"","49"
"Kewat",""
"Female","12"
"Male","15"
"","27"
"Khaling",""
"Female","8"
"Male","5"
"","13"
"Khawas",""
"Female","35"
"Male","43"
"","78"
"Koche",""
"Female","6"
"Male","5"
"","11"
"Koiri/Kushwaha",""
"Female","30"
"Male","34"
"","64"
"Kumal",""
"Female","389"
"Male","392"
"","781"
"Kumhar",""
"Female","7"
"Male","11"
"","18"
"Kurmi",""
"Female","22"
"Male","31"
"","53"
"Limbu",""
"Female","3069"
"Male","2663"
"","5732"
"Lohar",""
"Female","25"
"Male","37"
"","62"
"Magar",""
"Female","905"
"Male","752"
"","1657"
"Majhi",""
"Female","299"
"Male","275"
"","574"
"Mali",""
"Female","10"
"Male","10"
"","20"
"Mallaha",""
"Female","21"
"Male","21"
"","42"
"Marwadi",""
"Female","173"
"Male","211"
"","384"
"Munda",""
"Female","3"
"Male","8"
"","11"
"Musahar",""
"Female","49"
"Male","54"
"","103"
"Musalman",""
"Female","479"
"Male","540"
"","1019"
"Newar",""
"Female","2073"
"Male","1858"
"","3931"
"Others",""
"Female","62"
"Male","43"
"","105"
"Punjabi/Sikh",""
"Female","14"
"Male","12"
"","26"
"Rai",""
"Female","2756"
"Male","2211"
"","4967"
"Rajbansi",""
"Female","294"
"Male","348"
"","642"
"Rajput",""
"Female","22"
"Male","24"
"","46"
"Samgpang",""
"Female","7"
"Male","10"
"","17"
"Sanyasi/Dasnami",""
"Female","208"
"Male","196"
"","404"
"Sarki",""
"Female","229"
"Male","208"
"","437"
"Satar/ Santhal",""
"Female","163"
"Male","136"
"","299"
"Sherpa",""
"Female","33"
"Male","45"
"","78"
"Sonar",""
"Female","27"
"Male","37"
"","64"
"Sudhi",""
"Female","28"
"Male","36"
"","64"
"Sunuwar",""
"Female","167"
"Male","154"
"","321"
"Tajpuriya",""
"Female","50"
"Male","60"
"","110"
"Tamang",""
"Female","1265"
"Male","1107"
"","2372"
"Teli",""
"Female","480"
"Male","512"
"","992"
"Terai Others",""
"Female","143"
"Male","172"
"","315"
"Thakuri",""
"Female","25"
"Male","21"
"","46"
"Tharu",""
"Female","394"
"Male","381"
"","775"
"Thulung",""
"Female","18"
"Male","12"
"","30"
"Undefined Others",""
"Female","123"
"Male","116"
"","239"
"Yadav",""
"Female","98"
"Male","130"
"","228"
"Yakkha",""
"Female","43"
"Male","41"
"","84"
"Yamphu",""
"Female","7"
"Male","8"
"","15"
