"Population by Caste/Ethinicity","Number"
"Bangali",""
"Female","36"
"Male","48"
"Bantaba",""
"Female","17"
"Male","21"
"Bantar/Sardar",""
"Female","48"
"Male","44"
"Baraee",""
"Female","348"
"Male","362"
"Bhote",""
"Female","10"
"Male","4"
"Brahman - Hill",""
"Female","7415"
"Male","6428"
"Brahman - Tarai",""
"Female","170"
"Male","166"
"Chamar/ Harijan/ Ram",""
"Female","25"
"Male","18"
"Chamling",""
"Female","21"
"Male","19"
"Chhetri",""
"Female","6711"
"Male","5668"
"Damai/Dholi",""
"Female","637"
"Male","578"
"Danuwar",""
"Female","59"
"Male","75"
"Dhanuk",""
"Female","78"
"Male","70"
"Dhimal",""
"Female","100"
"Male","87"
"Dusadh/ Pasawan/ Pasi",""
"Female","17"
"Male","11"
"Gangai",""
"Female","138"
"Male","131"
"Gharti/Bhujel",""
"Female","347"
"Male","304"
"Gurung",""
"Female","114"
"Male","106"
"Hajam/Thakur",""
"Female","89"
"Male","89"
"Halwai",""
"Female","65"
"Male","63"
"Janajati Others",""
"Female","6"
"Male","6"
"Jhangad/ Dhagar",""
"Female","19"
"Male","21"
"Kalwar",""
"Female","15"
"Male","12"
"Kami",""
"Female","585"
"Male","525"
"Kathabaniyan",""
"Female","28"
"Male","25"
"Kayastha",""
"Female","26"
"Male","20"
"Kewat",""
"Female","10"
"Male","18"
"Khatwe",""
"Female","11"
"Male","12"
"Khawas",""
"Female","14"
"Male","13"
"Koiri/Kushwaha",""
"Female","102"
"Male","83"
"Kumal",""
"Female","12"
"Male","14"
"Kumhar",""
"Female","10"
"Male","8"
"Kurmi",""
"Female","7"
"Male","7"
"Limbu",""
"Female","771"
"Male","597"
"Lohar",""
"Female","15"
"Male","11"
"Magar",""
"Female","309"
"Male","232"
"Majhi",""
"Female","147"
"Male","134"
"Mallaha",""
"Female","29"
"Male","28"
"Musahar",""
"Female","426"
"Male","421"
"Musalman",""
"Female","375"
"Male","363"
"Newar",""
"Female","1006"
"Male","846"
"Nuniya",""
"Female","11"
"Male","6"
"Others",""
"Female","47"
"Male","45"
"Pattharkatta/ Kushwadiya",""
"Female","12"
"Male","14"
"Punjabi/Sikh",""
"Female","14"
"Male","16"
"Rai",""
"Female","570"
"Male","481"
"Rajbansi",""
"Female","1893"
"Male","1781"
"Rajput",""
"Female","19"
"Male","18"
"Sanyasi/Dasnami",""
"Female","140"
"Male","114"
"Sarbaria",""
"Female","66"
"Male","73"
"Sarki",""
"Female","194"
"Male","171"
"Satar/ Santhal",""
"Female","1420"
"Male","1364"
"Sonar",""
"Female","18"
"Male","10"
"Sudhi",""
"Female","23"
"Male","26"
"Sunuwar",""
"Female","34"
"Male","33"
"Tajpuriya",""
"Female","1957"
"Male","1851"
"Tamang",""
"Female","522"
"Male","439"
"Tatma/Tatwa",""
"Female","17"
"Male","24"
"Teli",""
"Female","241"
"Male","278"
"Terai Others",""
"Female","23"
"Male","17"
"Thakuri",""
"Female","25"
"Male","29"
"Tharu",""
"Female","311"
"Male","285"
"Undefined Others",""
"Female","112"
"Male","102"
"Yadav",""
"Female","48"
"Male","52"
"Yakkha",""
"Female","12"
"Male","19"
