"Population by Five Years Age Group","Number"
"0-4",""
"Female","1304"
"Male","1304"
"10-14",""
"Female","1624"
"Male","1687"
"15-19",""
"Female","1624"
"Male","1432"
"20-24",""
"Female","1734"
"Male","955"
"25-29",""
"Female","1539"
"Male","886"
"30-34",""
"Female","1132"
"Male","776"
"35-39",""
"Female","949"
"Male","761"
"40-44",""
"Female","803"
"Male","690"
"45-49",""
"Female","808"
"Male","633"
"50-54",""
"Female","762"
"Male","658"
"55-59",""
"Female","567"
"Male","575"
"5-9",""
"Female","1445"
"Male","1557"
"60-64",""
"Female","455"
"Male","516"
"65-69",""
"Female","350"
"Male","366"
"70-74",""
"Female","201"
"Male","239"
"75+",""
"Female","316"
"Male","303"
