"Population by Mother tongue","Number"
"Bangla",""
"Female","42"
"Male","51"
"","93"
"Bantawa",""
"Female","7"
"Male","6"
"","13"
"Bhojpuri",""
"Female","68"
"Male","55"
"","123"
"Doteli",""
"Female","9"
"Male","7"
"","16"
"Ganagai",""
"Female","23"
"Male","24"
"","47"
"Gurung",""
"Female","103"
"Male","97"
"","200"
"Hindi",""
"Female","45"
"Male","50"
"","95"
"Kagate",""
"Female","7"
"Male","8"
"","15"
"Khash",""
"Female","64"
"Male","55"
"","119"
"Kisan",""
"Female","48"
"Male","31"
"","79"
"Limbu",""
"Female","446"
"Male","378"
"","824"
"Magar",""
"Female","59"
"Male","56"
"","115"
"Maithili",""
"Female","1019"
"Male","1048"
"","2067"
"Meche",""
"Female","17"
"Male","14"
"","31"
"Nepali",""
"Female","5328"
"Male","4519"
"","9847"
"Newar",""
"Female","116"
"Male","92"
"","208"
"Not Reported",""
"Female","68"
"Male","66"
"","134"
"Others",""
"Female","36"
"Male","26"
"","62"
"Rai",""
"Female","201"
"Male","139"
"","340"
"Rajbanshi",""
"Female","9075"
"Male","8454"
"","17529"
"Santhali",""
"Female","689"
"Male","639"
"","1328"
"Sunuwar",""
"Female","100"
"Male","120"
"","220"
"Tamang",""
"Female","289"
"Male","251"
"","540"
"Tharu",""
"Female","8"
"Male","7"
"","15"
"Urdu",""
"Female","2964"
"Male","2514"
"","5478"
