"Population by Single Year of Age","Number"
"0",""
"Female","6633"
"Male","7310"
"1",""
"Female","6216"
"Male","6596"
"10",""
"Female","9622"
"Male","10111"
"11",""
"Female","8001"
"Male","8180"
"12",""
"Female","9984"
"Male","10657"
"13",""
"Female","9195"
"Male","9310"
"14",""
"Female","9981"
"Male","9679"
"15",""
"Female","9494"
"Male","8877"
"16",""
"Female","9479"
"Male","8880"
"17",""
"Female","9068"
"Male","8657"
"18",""
"Female","10489"
"Male","9477"
"19",""
"Female","7190"
"Male","6099"
"2",""
"Female","6651"
"Male","6975"
"20",""
"Female","9928"
"Male","7303"
"21",""
"Female","7208"
"Male","5328"
"22",""
"Female","10269"
"Male","6633"
"23",""
"Female","7967"
"Male","5009"
"24",""
"Female","8044"
"Male","5116"
"25",""
"Female","11141"
"Male","6352"
"26",""
"Female","8163"
"Male","5191"
"27",""
"Female","7583"
"Male","5108"
"28",""
"Female","8896"
"Male","6217"
"29",""
"Female","4947"
"Male","3719"
"3",""
"Female","6537"
"Male","6803"
"30",""
"Female","11817"
"Male","7956"
"31",""
"Female","4346"
"Male","3588"
"32",""
"Female","7460"
"Male","5735"
"33",""
"Female","4815"
"Male","3978"
"34",""
"Female","4925"
"Male","4200"
"35",""
"Female","11605"
"Male","8772"
"36",""
"Female","5380"
"Male","4347"
"37",""
"Female","3931"
"Male","3554"
"38",""
"Female","5536"
"Male","4848"
"39",""
"Female","3458"
"Male","3160"
"4",""
"Female","7319"
"Male","7653"
"40",""
"Female","10059"
"Male","8867"
"41",""
"Female","3212"
"Male","3062"
"42",""
"Female","4688"
"Male","4661"
"43",""
"Female","3494"
"Male","3278"
"44",""
"Female","3114"
"Male","2977"
"45",""
"Female","7836"
"Male","6965"
"46",""
"Female","3527"
"Male","3444"
"47",""
"Female","2823"
"Male","2866"
"48",""
"Female","3948"
"Male","3867"
"49",""
"Female","2503"
"Male","2391"
"5",""
"Female","7977"
"Male","8288"
"50",""
"Female","7033"
"Male","6563"
"51",""
"Female","2436"
"Male","2540"
"52",""
"Female","3570"
"Male","3738"
"53",""
"Female","2578"
"Male","2518"
"54",""
"Female","2343"
"Male","2372"
"55",""
"Female","5033"
"Male","4675"
"56",""
"Female","2752"
"Male","2744"
"57",""
"Female","2167"
"Male","2238"
"58",""
"Female","2472"
"Male","2623"
"59",""
"Female","1884"
"Male","1858"
"6",""
"Female","7781"
"Male","8135"
"60",""
"Female","5424"
"Male","5182"
"61",""
"Female","1918"
"Male","2034"
"62",""
"Female","2117"
"Male","2248"
"63",""
"Female","1629"
"Male","1655"
"64",""
"Female","1552"
"Male","1765"
"65",""
"Female","3577"
"Male","3120"
"66",""
"Female","1225"
"Male","1320"
"67",""
"Female","1563"
"Male","1707"
"68",""
"Female","1653"
"Male","2033"
"69",""
"Female","845"
"Male","1067"
"7",""
"Female","8695"
"Male","8678"
"70",""
"Female","2869"
"Male","2732"
"71",""
"Female","773"
"Male","933"
"72",""
"Female","1116"
"Male","1349"
"73",""
"Female","871"
"Male","982"
"74",""
"Female","628"
"Male","766"
"75",""
"Female","1511"
"Male","1494"
"76",""
"Female","615"
"Male","725"
"77",""
"Female","712"
"Male","681"
"78",""
"Female","911"
"Male","964"
"79",""
"Female","341"
"Male","419"
"8",""
"Female","8637"
"Male","9509"
"80",""
"Female","903"
"Male","873"
"81",""
"Female","332"
"Male","361"
"82",""
"Female","376"
"Male","386"
"83",""
"Female","338"
"Male","357"
"84",""
"Female","404"
"Male","349"
"85",""
"Female","1950"
"Male","1568"
"9",""
"Female","7561"
"Male","7791"
