"Population by Mother tongue","Number"
"Bahing",""
"Female","13"
"Male","6"
"","19"
"Bantawa",""
"Female","70"
"Male","55"
"","125"
"Bhujel",""
"Female","11"
"Male","11"
"","22"
"Chamling",""
"Female","5840"
"Male","5026"
"","10866"
"Doteli",""
"Female","18"
"Male","9"
"","27"
"Dumi",""
"Female","1167"
"Male","1023"
"","2190"
"Gurung",""
"Female","207"
"Male","157"
"","364"
"Khaling",""
"Female","247"
"Male","248"
"","495"
"Kulung",""
"Female","9"
"Male","6"
"","15"
"Magar",""
"Female","102"
"Male","98"
"","200"
"Maithili",""
"Female","48"
"Male","114"
"","162"
"Nachhiring",""
"Female","114"
"Male","110"
"","224"
"Nepali",""
"Female","13130"
"Male","11071"
"","24201"
"Newar",""
"Female","1278"
"Male","1074"
"","2352"
"Not Reported",""
"Female","64"
"Male","59"
"","123"
"Others",""
"Female","60"
"Male","55"
"","115"
"Rai",""
"Female","93"
"Male","75"
"","168"
"Sampang",""
"Female","1240"
"Male","1030"
"","2270"
"Sherpa",""
"Female","193"
"Male","158"
"","351"
"Tamang",""
"Female","1006"
"Male","805"
"","1811"
"Tharu",""
"Female","25"
"Male","18"
"","43"
"Thulung",""
"Female","369"
"Male","391"
"","760"
