"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","365"
"Male","329"
"","694"
"Chhetri",""
"Female","3715"
"Male","3306"
"","7021"
"Damai/Dholi",""
"Female","336"
"Male","250"
"","586"
"Gharti/Bhujel",""
"Female","291"
"Male","258"
"","549"
"Kami",""
"Female","585"
"Male","449"
"","1034"
"Magar",""
"Female","626"
"Male","484"
"","1110"
"Majhi",""
"Female","51"
"Male","52"
"","103"
"Newar",""
"Female","599"
"Male","521"
"","1120"
"Others",""
"Female","30"
"Male","25"
"","55"
"Rai",""
"Female","3320"
"Male","2853"
"","6173"
"Sanyasi/Dasnami",""
"Female","96"
"Male","86"
"","182"
"Sarki",""
"Female","256"
"Male","242"
"","498"
"Sherpa",""
"Female","33"
"Male","35"
"","68"
"Tamang",""
"Female","515"
"Male","467"
"","982"
