"Population by disability type","Number"
"Blind/low vision",""
"Female","52"
"Male","75"
"","127"
"Deaf/hard of hearing",""
"Female","37"
"Male","37"
"","74"
"Deaf-Blind",""
"Female","1"
"Male","7"
"","8"
"Intellectual disable",""
"Female","15"
"Male","17"
"","32"
"Mental disable",""
"Female","23"
"Male","22"
"","45"
"Multiple disable",""
"Female","17"
"Male","23"
"","40"
"No disability",""
"Female","20596"
"Male","20314"
"","40910"
"Physical",""
"Female","90"
"Male","161"
"","251"
"Speech problem",""
"Female","38"
"Male","61"
"","99"
