"Population by Five Years Age Group","Number"
"0-4",""
"Female","1991"
"Male","2108"
"10-14",""
"Female","2593"
"Male","2665"
"15-19",""
"Female","2002"
"Male","2144"
"20-24",""
"Female","1635"
"Male","1356"
"25-29",""
"Female","1560"
"Male","1473"
"30-34",""
"Female","1502"
"Male","1202"
"35-39",""
"Female","1342"
"Male","1288"
"40-44",""
"Female","1135"
"Male","1012"
"45-49",""
"Female","920"
"Male","1039"
"50-54",""
"Female","737"
"Male","753"
"55-59",""
"Female","685"
"Male","694"
"5-9",""
"Female","2568"
"Male","2470"
"60-64",""
"Female","538"
"Male","537"
"65-69",""
"Female","369"
"Male","407"
"70-74",""
"Female","216"
"Male","228"
"75+",""
"Female","142"
"Male","159"
